file: /home/wyy/benchmark/SCP/OR-Large/scpnre3.txt Thread 6 best cost: 27, time: 999.952 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre3.txt Thread 7 best cost: 27, time: 999.952 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre3.txt Thread 8 best cost: 27, time: 999.959 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre3.txt Thread 9 best cost: 27, time: 999.952 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 0 best cost: 28, time: 999.939 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 1 best cost: 28, time: 999.944 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 2 best cost: 28, time: 999.945 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 3 best cost: 28, time: 999.962 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 4 best cost: 28, time: 999.96 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 5 best cost: 28, time: 999.958 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 6 best cost: 28, time: 999.95 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 7 best cost: 28, time: 999.939 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 8 best cost: 28, time: 999.948 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre5.txt Thread 9 best cost: 28, time: 999.945 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 0 best cost: 168, time: 999.947 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 1 best cost: 168, time: 999.947 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 2 best cost: 168, time: 999.945 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 3 best cost: 168, time: 999.943 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 4 best cost: 168, time: 999.948 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 5 best cost: 168, time: 999.941 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 6 best cost: 168, time: 999.943 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 7 best cost: 168, time: 999.945 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 8 best cost: 168, time: 999.945 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg4.txt Thread 9 best cost: 168, time: 999.945 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 0 best cost: 29, time: 999.957 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 1 best cost: 29, time: 999.948 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 2 best cost: 29, time: 999.963 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 3 best cost: 29, time: 999.968 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 4 best cost: 29, time: 999.964 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 5 best cost: 29, time: 999.959 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 6 best cost: 29, time: 999.967 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 7 best cost: 29, time: 999.975 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 8 best cost: 29, time: 999.955 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre1.txt Thread 9 best cost: 29, time: 999.966 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 0 best cost: 176, time: 999.945 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 1 best cost: 176, time: 999.946 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 2 best cost: 176, time: 999.94 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 3 best cost: 176, time: 999.939 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 4 best cost: 176, time: 999.944 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 5 best cost: 176, time: 999.942 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 6 best cost: 176, time: 999.948 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 7 best cost: 176, time: 999.938 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 8 best cost: 176, time: 999.945 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg1.txt Thread 9 best cost: 176, time: 999.94 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 0 best cost: 59, time: 999.895 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 1 best cost: 59, time: 999.9 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 2 best cost: 59, time: 999.917 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 3 best cost: 59, time: 999.913 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 4 best cost: 59, time: 999.9 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 5 best cost: 59, time: 999.905 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 6 best cost: 59, time: 999.911 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 7 best cost: 59, time: 999.914 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 8 best cost: 59, time: 999.895 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh3.txt Thread 9 best cost: 59, time: 999.925 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 0 best cost: 14, time: 999.949 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 1 best cost: 14, time: 999.995 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 2 best cost: 14, time: 999.921 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 3 best cost: 14, time: 999.97 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 4 best cost: 14, time: 999.993 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 5 best cost: 14, time: 999.998 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 6 best cost: 14, time: 999.931 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 7 best cost: 14, time: 999.924 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf1.txt Thread 8 best cost: 14, time: 999.922 seconds
